timestamp,event
2026-04-24 15:56:31.625889,app_opened
2026-04-24 15:56:32.935026,app_opened
2026-04-24 15:56:35.290224,app_opened
2026-04-24 15:58:25.185227,app_opened
2026-04-24 17:04:58.869286,TEST RUN
2026-04-24 17:04:58.873278,app_opened
2026-04-24 17:10:13.553950,TEST RUN
2026-04-24 17:10:13.556057,app_opened
2026-04-24 17:11:00.297786,TEST RUN
2026-04-24 17:11:00.299900,app_opened
2026-04-24 17:16:41.577739,app_opened
2026-04-24 17:17:52.256319,app_opened
2026-04-24 17:28:22.350395,app_opened
2026-04-25 11:25:07.071055,app_opened
2026-04-25 11:27:38.461788,app_opened
2026-04-25 11:28:42.568607,app_opened
2026-04-25 11:32:22.355761,app_opened
2026-04-25 11:34:53.558746,app_opened
2026-04-25 11:38:40.190103,app_opened
2026-04-25 11:45:52.191416,app_opened
2026-04-25 11:46:37.889310,app_opened
2026-04-25 11:50:10.068345,app_opened
2026-04-25 11:51:52.235459,app_opened
2026-04-25 11:58:46.497902,app_opened
2026-04-25 12:01:20.026788,app_opened
2026-04-25 12:01:24.732745,app_opened
2026-04-25 13:57:59.036329,app_opened
2026-04-25 14:00:56.236015,app_opened
2026-04-25 14:03:20.744507,app_opened
2026-04-25 14:10:13.543969,app_opened
2026-04-25 14:16:26.856238,app_opened
2026-04-25 14:18:07.436400,app_opened
2026-04-25 14:40:08.563715,app_opened
2026-04-25 14:46:14.099482,app_opened
2026-04-25 14:55:45.216543,app_opened
2026-04-25 14:56:09.556869,app_opened
2026-04-25 15:15:34.998329,app_opened
2026-04-25 15:29:32.441879,app_opened
2026-04-25 15:33:05.172980,app_opened
2026-04-25 15:36:21.691919,app_opened
2026-04-25 15:45:04.008062,app_opened
2026-04-25 15:49:11.174947,app_opened
2026-04-25 15:56:34.449514,app_opened
2026-04-25 16:06:43.267359,app_opened
2026-04-25 19:40:58.238147,app_opened
2026-04-25 19:41:21.208341,app_opened
2026-04-25 20:28:43.736916,app_opened
2026-04-25 20:35:09.452722,app_opened
2026-04-25 21:08:52.558576,app_opened
2026-04-25 21:28:58.865757,app_opened
2026-04-25 21:34:54.451835,app_opened
2026-04-26 12:19:12.593649,app_opened
2026-04-26 14:03:57.362799,app_opened
2026-04-26 14:13:17.550968,app_opened
2026-04-26 14:17:17.501705,app_opened
2026-04-26 14:20:10.707595,app_opened
2026-04-26 14:20:30.006476,app_opened
2026-04-26 14:21:51.719527,app_opened
2026-04-26 14:23:19.637257,app_opened
2026-04-26 14:26:19.748910,app_opened
2026-04-26 14:27:06.614640,app_opened
2026-04-26 14:27:17.746594,app_opened
2026-04-26 14:38:06.043371,app_opened
2026-04-26 14:41:51.588306,app_opened
2026-04-26 14:42:07.922293,app_opened
2026-04-26 14:49:14.018684,app_opened
2026-04-26 14:54:11.199770,app_opened
2026-04-26 15:13:31.179718,app_opened
2026-04-26 15:16:40.524852,app_opened
2026-04-26 15:18:06.980335,app_opened
2026-04-26 15:19:12.856004,app_opened
2026-04-26 15:21:41.533749,app_opened
2026-04-26 15:23:27.006487,app_opened
2026-04-26 15:25:43.482775,app_opened
2026-04-26 15:26:02.014422,app_opened
2026-04-26 15:27:01.956726,app_opened
2026-04-26 15:31:35.566911,app_opened
2026-04-26 15:42:35.750270,app_opened
2026-04-26 15:45:40.531998,app_opened
2026-04-26 15:47:33.179041,app_opened
2026-04-26 15:56:42.187020,app_opened
2026-04-26 16:29:00.595162,app_opened
2026-04-26 16:36:59.623046,app_opened
2026-04-26 16:37:51.759340,app_opened
2026-04-26 16:41:06.128725,app_opened
2026-04-26 16:43:29.655861,app_opened
2026-04-26 16:46:07.341187,app_opened
2026-04-26 17:33:38.137880,app_opened
2026-04-26 17:39:34.471019,app_opened
2026-04-26 17:46:56.159877,app_opened
2026-04-26 17:54:55.677697,app_opened
2026-04-26 17:59:44.961480,app_opened
2026-04-26 18:01:05.441162,app_opened
2026-04-26 18:17:37.447118,app_opened
2026-04-26 18:20:33.117570,app_opened
2026-04-26 18:21:03.117008,app_opened
2026-04-26 18:23:54.988830,app_opened
2026-04-26 18:25:11.005219,app_opened
2026-04-26 18:29:42.527354,app_opened
2026-04-26 18:31:07.614083,app_opened
2026-04-26 18:32:04.253755,app_opened
2026-04-26 18:32:26.848115,app_opened
2026-04-26 18:33:20.411607,app_opened
2026-04-26 18:33:28.609876,app_opened
2026-04-26 18:36:52.610915,app_opened
2026-04-26 18:37:16.021410,app_opened
2026-04-26 18:38:16.474079,app_opened
2026-04-26 18:42:24.319425,app_opened
2026-04-26 18:45:26.420150,app_opened
2026-04-26 18:50:31.364693,app_opened
2026-04-26 18:53:45.891422,app_opened
2026-04-26 18:57:14.612920,app_opened
2026-04-26 19:16:09.715333,app_opened
2026-04-26 19:17:49.118752,app_opened
2026-04-26 19:18:49.299747,app_opened
2026-04-26 19:30:30.356525,app_opened
2026-04-26 19:30:44.980518,app_opened
2026-04-26 19:31:06.852977,app_opened
2026-04-26 19:31:32.291680,app_opened
2026-04-26 19:31:41.643659,app_opened
2026-04-26 19:37:53.881426,app_opened
2026-04-26 19:53:41.945247,app_opened
2026-04-26 19:54:16.876961,app_opened
2026-04-26 19:57:32.329073,app_opened
2026-04-26 19:57:41.010480,app_opened
2026-04-26 19:57:52.681771,app_opened
2026-04-26 19:58:08.497491,app_opened
2026-04-26 20:01:52.305290,app_opened
2026-04-26 20:02:03.641832,app_opened
2026-04-26 20:03:46.379678,app_opened
2026-04-26 20:04:00.945305,app_opened
2026-04-26 20:20:09.348325,app_opened
2026-04-26 20:22:03.586767,app_opened
2026-04-26 20:30:40.155209,app_opened
2026-04-26 21:11:25.745900,app_opened
2026-04-26 21:14:50.800317,app_opened
2026-04-27 08:52:37.404201,app_opened
2026-04-27 08:53:22.239534,app_opened
2026-04-27 08:54:55.353964,app_opened
2026-04-27 08:55:45.012910,app_opened
2026-04-27 08:56:53.445276,app_opened
2026-04-27 08:58:05.103861,app_opened
2026-04-27 09:00:10.246701,app_opened
2026-04-27 09:00:11.271217,app_opened
2026-04-27 09:00:21.102349,app_opened
2026-04-27 09:01:28.993355,app_opened
2026-04-27 09:28:36.584896,app_opened
2026-04-27 09:28:52.545550,app_opened
2026-04-27 09:54:08.518170,app_opened
2026-04-27 09:55:23.111467,app_opened
2026-04-27 09:57:01.546713,app_opened
2026-04-27 10:25:19.020740,app_opened
2026-04-27 10:30:24.525868,app_opened
2026-04-27 10:31:09.583418,app_opened
2026-04-27 10:32:27.047093,app_opened
2026-04-27 11:05:07.520635,app_opened
2026-04-27 11:06:05.081527,app_opened
2026-04-27 11:06:44.737528,app_opened
2026-04-27 11:37:47.473296,app_opened
2026-04-27 12:29:20.990036,app_opened
2026-04-27 12:59:52.807949,app_opened
2026-04-27 13:25:34.723291,app_opened
2026-04-27 13:26:04.105885,app_opened
2026-04-27 13:34:05.047411,app_opened
2026-04-27 13:38:41.282391,app_opened
2026-04-27 13:46:43.772481,app_opened
2026-04-27 15:52:49.605235,app_opened
2026-04-27 15:57:32.220245,app_opened
2026-04-27 15:57:57.290352,app_opened
2026-04-27 15:58:05.952034,app_opened
2026-04-27 15:58:31.531243,app_opened
2026-04-27 16:04:38.329262,app_opened
2026-04-27 16:05:06.528762,app_opened
2026-04-27 16:05:36.915911,app_opened
2026-04-27 16:27:18.490834,app_opened
2026-04-27 16:29:04.722647,app_opened
2026-04-27 16:37:55.624933,app_opened
2026-04-27 17:26:05.083658,app_opened
2026-04-27 19:42:20.162066,app_opened
2026-04-27 19:46:41.675087,app_opened
2026-04-27 20:08:36.048668,app_opened
2026-04-27 20:08:54.314555,app_opened
2026-04-27 20:42:27.960914,app_opened
2026-04-27 20:45:11.799128,app_opened
2026-04-27 20:50:25.195990,app_opened
2026-04-27 20:51:09.160396,app_opened
2026-04-27 20:51:34.961566,app_opened
2026-04-27 20:51:42.231480,app_opened
2026-04-27 20:59:28.891421,app_opened
2026-04-27 20:59:58.389593,app_opened
2026-04-27 21:00:34.409018,app_opened
2026-04-27 21:05:17.920767,app_opened
2026-04-27 21:06:20.852383,app_opened
2026-04-27 21:07:06.101288,app_opened
2026-04-27 21:08:25.570891,app_opened
2026-04-27 21:09:36.351427,app_opened
2026-04-27 21:13:19.830698,app_opened
2026-04-27 21:20:26.524297,app_opened
2026-04-27 21:23:21.884894,app_opened
2026-04-27 21:27:06.233414,app_opened
2026-04-28 08:37:17.913401,app_opened
2026-04-28 11:55:10.387207,app_opened
2026-04-28 11:56:12.769920,app_opened
2026-04-28 12:16:03.664015,app_opened
2026-04-28 12:17:32.915827,app_opened
2026-04-28 12:20:50.847729,app_opened
2026-04-28 12:33:09.065944,app_opened
2026-04-28 12:35:58.919033,app_opened
2026-04-28 12:47:59.985545,app_opened
2026-04-28 12:49:06.820015,app_opened
2026-04-28 12:49:25.060841,app_opened
2026-04-28 12:50:29.317710,app_opened
2026-04-28 12:51:53.906636,app_opened
2026-04-28 12:53:35.170800,app_opened
2026-04-28 12:58:11.092820,app_opened
2026-04-28 13:00:01.828569,app_opened
2026-04-28 13:01:29.263877,app_opened
2026-04-28 13:01:55.295676,app_opened
2026-04-28 13:04:30.919995,app_opened
2026-04-28 13:05:57.562123,app_opened
2026-04-28 13:07:05.127719,app_opened
2026-04-28 13:07:49.191799,app_opened
2026-04-28 13:09:32.280925,app_opened
2026-04-28 13:14:53.400363,app_opened
2026-04-28 13:18:42.132782,app_opened
2026-04-28 13:19:21.084444,app_opened
2026-04-28 13:22:30.452778,app_opened
2026-04-28 13:29:31.113318,app_opened
2026-04-28 13:37:56.704806,app_opened
2026-04-28 13:39:37.455097,app_opened
2026-04-28 14:47:11.866907,app_opened
2026-04-28 14:47:50.860133,app_opened
2026-04-28 14:48:23.209689,app_opened
2026-04-28 14:50:16.204275,app_opened
2026-04-28 14:53:39.338661,app_opened
2026-04-28 14:54:15.254523,app_opened
2026-04-28 14:58:12.661768,app_opened
2026-04-28 15:08:22.110304,app_opened
2026-04-28 15:09:52.364697,app_opened
2026-04-28 15:21:13.209773,app_opened
2026-04-28 15:33:49.195944,app_opened
2026-04-28 15:33:56.824221,app_opened
2026-04-28 15:44:33.710465,app_opened
2026-04-28 15:44:46.536405,app_opened
2026-04-28 15:50:05.431454,app_opened
2026-04-28 15:57:14.564198,app_opened
2026-04-28 15:58:20.375383,app_opened
2026-04-28 15:58:33.385057,app_opened
2026-04-28 15:58:45.859261,app_opened
2026-04-28 15:58:53.508353,app_opened
2026-04-28 15:59:00.360763,app_opened
2026-04-28 16:01:58.215344,app_opened
2026-04-28 16:05:09.752024,app_opened
2026-04-28 16:08:31.661068,app_opened
2026-04-28 16:10:30.521152,app_opened
2026-04-28 16:10:51.221215,app_opened
2026-04-28 16:17:39.751600,app_opened
2026-04-28 16:29:31.036439,app_opened
2026-04-28 16:30:38.060417,app_opened
2026-04-28 16:36:23.735564,app_opened
2026-04-28 16:37:54.983559,app_opened
2026-04-28 16:43:01.925741,app_opened
2026-04-28 16:43:36.306795,app_opened
2026-04-28 16:45:33.396371,app_opened
2026-04-28 17:24:52.488788,app_opened
2026-04-28 17:29:17.664053,app_opened
2026-04-28 17:36:47.750575,app_opened
2026-04-28 17:45:12.539923,app_opened
2026-04-28 17:45:54.825062,app_opened
2026-04-28 17:46:38.893220,app_opened
2026-04-28 17:46:45.290714,app_opened
2026-04-28 17:50:24.736991,app_opened
2026-04-28 17:55:56.033885,app_opened
2026-04-28 17:58:55.922404,app_opened
2026-04-28 18:01:05.342848,app_opened
2026-04-28 18:08:43.135619,app_opened
2026-04-28 18:09:36.192376,app_opened
2026-04-28 18:12:53.667698,app_opened
2026-04-28 18:14:50.507864,app_opened
2026-04-28 18:16:48.605311,app_opened
2026-04-28 18:18:45.054479,app_opened
2026-04-28 18:45:27.581861,app_opened
2026-04-28 18:55:13.179074,app_opened
